#id,screen_name,friends_count,followers_count,favourites_count,statuses_count,name,Following
235821180,bigmlcom,14,1377,0,1055,BigML,
1387770396,Big_Data_Face,530,320,2,145,Big Data Face,Yes
84309024,magomimmo,149,75,2,341,Mimmo Cosenza,
18807424,xocasgv,476,2011,11,906,Xaquín G.V.,
34255829,albertocairo,1282,9640,435,15748,Alberto Cairo,
1838791,blueshirt,29,972,0,26,Jeremy White,
4071761,mericson,825,3200,10,937,Matthew Ericson,
705082592,wardnyt,24,528,0,43,Joe Ward,
29186025,afamulari,110,76,0,773,Antonino Famulari,Yes
318727379,dryifanhu,14,6,0,7,Yifan Hu,
14162405,pendolare,404,389,3,1600,pendolaredigitale,Yes
1105783249,erikavicaretti,235,67,17,50,Erika V,Yes
382393,ciro,837,1163,875,1074,Ciro Cattuto,
367089411,moebio,412,3055,428,8882,Santiago Ortiz,
161268291,DavidMartinB,666,585,339,9419,David MartinBorregon,Yes
74806908,VonGomben,556,860,46,1198,Davide Gomba,
156031097,apanisson,277,195,7,89,André Panisson,
451782803,MarcoSors,351,170,20,319,Marco Sors,Yes
14624056,pna,1062,435,15,1228,Puria Nafisi Azizi,
37010284,abc3d,1536,1949,187,7489,Francesco D'Orazio,
503649441,g0rg0,7,77,4,3,Giorgio Olivero,
206686349,fabiofranchino,97,27,25,105,Fabio Franchino,
19310677,todotoit,277,1556,425,734,ToDo,
18160154,jboner,448,7030,22,17896,Jonas Bonér,
79758113,tonyparker,44,568052,0,1099,tony Parker,
158106469,haldaume3,130,887,2,100,Hal Daume III,
295587219,KennyElissonde,85,3123,3,1102,Kenny Elissonde,
600991592,BluemontLabs,47,49,2,29,Bluemont Labs,
126074955,stanhbb,36,15,4,28,Stanislas Nanchen,Yes
78729443,joe_hellerstein,274,2872,94,1157,Joe Hellerstein,
16377511,rickasaurus,811,3522,780,40148,Richard Minerich,
25282026,mikedewar,239,1590,5,3146,Michael Dewar,
18296585,billghowe,37,342,1,88,Bill Howe,
111723493,hadoopsummit,15,3004,1,926,Hadoop Summit,
6002822,atveit,760,1191,7094,566,Amund Tveit,
74155968,atbrox,110,234,56,101,atbrox,
59735886,zerology,260,273,18274,3452,Vero X. Y. Zero,Yes
3930521,dpp,191,3717,106,9169,David Pollak,
45537795,MatthieuGlzt,667,2231,823,12323,Matthieu Meyer,
519820754,data_hero,52,488,4,91,Datahero,
943648532,LambdaNext,20,205,6,92,Lambda Next,
33453372,Bertrand_Meyer,5,750,0,66,Bertrand Meyer,
10179552,mrb_bk,429,959,4866,17808,mrb,
18174195,joshsmithnyc,143,1878,238,1330,Josh Smith,
14209229,jsteeleeditor,799,3100,297,3333,Julie Steele,
205795059,OlivierBohrer,227,53,111,490,Olivier,Yes
314691129,exoscale,1393,304,6,56,exoscale,
1306018363,BayesCamp,565,86,0,36,BayesCamp,Yes
369817064,sebgoa,200,232,26,885,Sebastien Goasguen,
54129186,neil_conway,543,1945,191,2504,Neil Conway,
460544490,hackerschool,48,5296,11,266,Hacker School,
408659050,riviera_func,28,79,2,324,Riviera ScalaClojure,
104098660,ccshan,303,537,13,3086,Chung-chieh Shan,
5878332,timdavies,1769,4816,53,8716,Tim Davies,
505721324,tmwdr,171,95,21,108,Tom Wider,
23087133,adiherzog,229,95,298,236,Adrian Herzog,
501968170,SchoolOfData,641,3187,4,565,School of Data,
91342697,chrisgugi,159,180,21,565,Christian Gügi,
14944796,jpkoenig,235,371,58,1817,jpkoenig,
20753504,ctford,530,756,0,8031,Chris Ford,
143264018,corbett,1860,1825,1965,9476,Christine Corbett,
16143105,OKFN,129,9541,54,3261,OKFN,
385013701,rastrau,521,380,448,2231,Ralph Straumann,
124512591,schignard,1276,1834,4620,2266,Simon Chignard,
18463930,drewconway,281,6180,73,17886,Drew Conway,
111918932,davidjacot,385,154,1684,584,David Jacot,Yes
614186122,nosqlrs,1464,610,3,753,NoSQLSearch Roadshow,
14344469,peteskomoroch,918,12776,1819,9431,Peter Skomoroch,
16067035,ogrisel,919,4452,176,5113,Olivier Grisel,
732722785,EmacsHaiku,9,600,0,200,Emacs Haiku,
85548506,berlinbuzzwords,108,877,149,1344,Berlin Buzzwords,
14986849,smolix,41,2389,1,206,Alex Smola,
394210473,EmacsRocks,20,3195,37,383,Emacs Rocks,
14183622,pingles,300,574,166,4027,Paul Ingles,
488417933,bigdataweek,498,2323,10,5046,Big Data Week,
80422885,kaggle,83,7389,9,1726,Kaggle,
476700973,ds_ldn,246,2651,0,1990,Data Science London,
534785866,OpenStackCH,106,165,0,215,OpenStack CH,
288500051,hortonworks,264,16736,9,1537,Hortonworks,
25814570,noggin143,485,518,14,422,Tim Bell,
640303,dizz,460,478,14,3119,Andy Edmonds,Yes
58127484,al_maisan,480,345,211,3084,Muharem Hrnjadovic,Yes
67588426,planetapache,6,636,0,9138,Planet Apache,
132051240,DataStax,829,5620,56,1895,DataStax,
1386340291,clojurecup,32,339,5,34,Clojure Cup,
1386426690,AdamRzepka,1,1,0,2,Adam Rzepka,Yes
549095452,Malouneh,568,163,187,1000,Malouneh,
1085411,jcfischer,689,732,3379,7811,Jens-Chr. Fischer,Yes
14578294,josh_wills,832,3197,2441,5861,Josh Wills,
356704483,nosqlmatters,268,760,61,446,NoSQL Conferences,
46403451,guardian_sport,995,318296,29,41534,Guardian sport,
16665059,edlich,101,259,57,619,edlich,
112137152,jugglingbits,67,37,6,266,Thomas Kappler,Yes
34270684,puffnfresh,1205,2740,58,7912,Brian McKenna,
6186692,pragdave,51,15011,10,3076,Dave Thomas,
16665197,martinfowler,336,75791,10,3887,Martin Fowler,
268974242,stevevinoski,337,2056,0,1334,Steve Vinoski,
18264230,rjmh,64,785,0,36,John Hughes,
6586332,djspiewak,143,5100,29,19747,Daniel Spiewak,
863223511,bib_radiofrance,347,236,13,381,biblio Radio France,
181576147,sophia,1417,7017,531,2951,Sophia.org,
363193134,RetoCarlosSoria,1014,5520,73,3041,Carlos Soria,
15232432,deanwampler,664,4499,1777,8538,Dean Wampler,
53338074,IBMCH,307,1603,16,1574,IBM Switzerland,
487390535,PhilipWadler,69,1076,0,78,Philip Wadler,
1342172868,BigDataHunting,1144,1170,0,167,BigDataHunting,Yes
16891384,KentBeck,222,46436,93,7644,Kent Beck,
352053266,coursera,263,94117,935,1287,Coursera,
14839109,dpatil,824,14153,2685,7800,dj patil,
14939200,seancribbs,305,2132,3132,17004,Sean Cribbs,
344923471,BigDataU,3,491,0,22,Big Data University,
604686251,bigdive_eu,493,264,1,498,BIG DIVE,
21457289,MSFTResearch,811,111823,5,1746,Microsoft Research,
304590949,ClouderaU,1410,2167,0,468,Cloudera University,
16134540,cloudera,319,18564,34,2001,Cloudera,
11342442,davekincaid,244,177,21,3292,Dave Kincaid,
635388777,Philosophyflow,1886,20614,115,239,Philosophy,
233872539,mariopastorelli,142,61,25,562,Mario Pastorelli,Yes
78189786,Quantisan,169,631,2,2823,Paul Lam,
